timestamp,curIn,curOut,amount,txid
1511907392.96,LTC,BCH,2,485972
1511934995.39,ETH,BTC,0.21350185,465262
1512007040.86,ETH,GNO,0.02356009,432760
1510503485.22,BLK,CLAM,250,
1509177397.31,LTC,VTC,1.80652,
1509619659.04,ETH,BCH,3.19387122,
1509909752.15,DNT,BTC,1019.578096,
1512225231.5,ETH,BTC,10.35250272,721196
1512053664.87,ETH,DASH,2.80459,397255
1511936720.72,LTC,BCH,0.20746888,984031
1510766396.63,BTC,ETH,0.32,
1512068599.31,LTC,DASH,0.4319921,846456
1512246001.12,LTC,DASH,7.83997809,152245
1512161236.81,GNT,EOS,395.40816327,94026
1512041432.97,OMG,BCH,2.36993857,136593
1510147171.48,ETH,DASH,1.19405873,
1511191463.21,LTC,CVC,26.98768173,
1512017958.56,ETH,OMG,1.93744247,478425
1512181348.6,RDD,LTC,110262.395747,181323
1508443000.77,BTC,OMG,0.01,
1511978818.34,LTC,DCR,5.91629449,992647
1512162177.85,LTC,CVC,0.10198878,12698
1512102948.71,ETH,DNT,0.02242681,272618
1512019781.89,MONA,DASH,93,216953
1511649127.55,GAME,DOGE,35,3996
1512182732.98,ETH,EOS,0.02,415640
1511578105.73,LTC,ETH,0.49544921,977314
1512045038.19,LTC,BCH,21,945008
1511768119.94,ETH,BTC,1.24831477,348333
1511565914.79,ETH,ETC,0.21250807,794468
1511511099.62,ETH,BTC,0.81047273,
1511973239.55,LTC,OMG,50,747819,
1512055337.35,BAT,FUN,124.96806403,226582
1511815962.92,REP,ETH,2.16166465,739938
1510233975.68,ETH,GNT,0.03398287,
1511893259.81,EOS,BCH,26.22038673,331694
1512252121.33,ETH,OMG,0.49896101,771557
1509894999.08,BTC,ETH,0.03940995,
1512213218.64,ETH,BTC,0.42,939216
1511756023.76,ETH,BTC,0.15354224,814614
1512081022.37,DGB,BCH,5612.08521769,719383
1512001517.07,ETH,BTC,10.86584622,686352
1508613460.37,LTC,OMG,0.74286542,
1507595714.38,LTC,VTC,5,
1508745106.7,BTC,ETH,0.8,
1510670989.27,ETH,LTC,7.22999035,
1511745637.12,ETH,DCR,0.999774268,73948
1512160966.73,ETH,ETC,0.13116704,224976
1511875882.01,ETH,BTC,1.27991808,629651
1511961283.72,BTC,DASH,0.00121816,368243
1511177452.25,LTC,XRP,6.98094841,
1511899583.31,DASH,BTC,1.80225449,376823
1512027900.36,FUN,DASH,2029.37187622,546437
1510319469.82,ETH,BCH,1,
1509230437.71,VTC,LTC,550,
1511954715.63,BTC,GNT,0.0030629,90486
1512067293.99,LTC,ETH,1,852088
1512213342.27,ZEC,ETH,0.0251,843964
1509676245.96,ETH,OMG,2.5,
1512083027.0,ETH,GNT,0.00764666299627,298144
1512119538.49,GNT,ETH,49.82897648,536319
1512242256.03,ETH,ETC,0.00335318,322261
1511110707.28,BTC,XMR,0.6,
1511707658.13,ETH,BTC,10,805777
1508262746.85,ETH,BTC,0.0934,
1509327435.7,ETH,BTC,0.07664637,
1510834080.31,VTC,LTC,44.67274867,
1512077265.68,BTC,BCH,0.522,144869
1508066619.32,MONA,BTC,50,
1511778043.23,EOS,LTC,26.88782677,73699
1507854348.92,BAT,LTC,80.10066337,
1512215201.24,GNT,EOS,92.79326148,506096
1510980068.54,DASH,BTC,0.09105508,
1512168040.15,LTC,GNT,0.09978769,974930
1508108303.13,LTC,ETH,0.99954634,
1511974760.34,ETH,BCH,0.175,977712
1512036351.22,ETH,DASH,4.71903576,930186
1510293601.82,ETH,GNT,0.00721232,
1512116531.84,LTC,XRP,0.2643397,53429
1507324149.61,BTC,ETH,0.075,
1512158144.41,LTC,DASH,0.16124,230981
1511898522.36,ETH,DCR,0.17202427,536592
