Station,Stn Type,Crime Group - Full,Number of Crimes
55 BROADWAY LUL HQ,TfL Stn,Theft of Passenger Property,1
ABBEY ROAD,DLR Stn,Line of Route (Less Serious),2
ABBEY ROAD,DLR Stn, Violence,1
ABBEY ROAD,DLR Stn,Violence,1
ABBEY ROAD,DLR Stn,Violence,2
ABBEY ROAD,DLR Stn,Criminal Damage,1
ABBEY ROAD,DLR Stn,Public Order (Less Serious),1
ABBEY ROAD,DLR Stn,Drugs,1
ABBEY ROAD,DLR Stn,Criminal Damage,2
ABBEY ROAD,DLR Stn,Theft of Passenger Property,1
ABBEY ROAD,DLR Stn,Public Order (Serious),1
ABBEY ROAD,DLR Stn,Public Order (Less Serious),1
ABBEY WOOD,Mainline Stn,Criminal Damage,1
ABBEY WOOD,Mainline Stn,Graffiti,2
ABBEY WOOD,Mainline Stn,Line of Route (Less Serious),2
ABBEY WOOD,Mainline Stn,Violence,1
ABBEY WOOD,Mainline Stn,Violence,1
ABBEY WOOD,Mainline Stn,Violence,1
ABBEY WOOD,Mainline Stn,Sex,1
ABBEY WOOD,Mainline Stn,Sex,2
ABBEY WOOD,Mainline Stn,Theft of Passenger Property,4
ABBEY WOOD,Mainline Stn,Theft of Passenger Property,2
ABBEY WOOD,Mainline Stn,Public Order (Less Serious),1
ABBEY WOOD,Mainline Stn,Public Order (Less Serious),1
ABBEY WOOD,Mainline Stn,Fraud (Less Serious),1
ABBEY WOOD,Mainline Stn,Fraud (Less Serious),1
ABBEY WOOD,Mainline Stn,Drugs,1
ABBEY WOOD,Mainline Stn,Violence,1
ABBEY WOOD,Mainline Stn,Violence,3
ABBEY WOOD,Mainline Stn,Theft of Passenger Property,1
ABBEY WOOD,Mainline Stn,Theft of Passenger Property,1
ABBEY WOOD,Mainline Stn,Pedal Cycle,1
ABBEY WOOD,Mainline Stn,Pedal Cycle,2
ABBEY WOOD,Mainline Stn,Robbery,1
ABBEY WOOD,Mainline Stn,Public Order (Serious),1
ABBEY WOOD,Mainline Stn,Public Order (Less Serious),1
ABBEY WOOD,Mainline Stn,Fraud (Less Serious),1
ABBEY WOOD,Mainline Stn,Fraud (Less Serious),2
ABBEY WOOD,Mainline Stn,Drugs,3
ABBEY WOOD,Mainline Stn,Other (Less Serious),1
ACTON CENTRAL,Mainline Stn,Criminal Damage,1
ACTON CENTRAL,Mainline Stn,Line of Route (Less Serious),8
ACTON CENTRAL,Mainline Stn,Public Order (Less Serious),2
ACTON CENTRAL,Mainline Stn,Public Order (Less Serious),1
ACTON CENTRAL,Mainline Stn,Other (Serious),3
ACTON CENTRAL,Mainline Stn,Other (Less Serious),14
ACTON CENTRAL,Mainline Stn,Other (Less Serious),24
